sample,fastq_1,fastq_2,strandedness
12097_S85,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12097_S85_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12097_S85_R2_001.fastq.gz,auto
12210_S3,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12210_S3_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12210_S3_R2_001.fastq.gz,auto
12254_S4,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12254_S4_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12254_S4_R2_001.fastq.gz,auto
12276_S5,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12276_S5_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12276_S5_R2_001.fastq.gz,auto
12464_S6,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12464_S6_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12464_S6_R2_001.fastq.gz,auto
12493_S8,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12493_S8_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12493_S8_R2_001.fastq.gz,auto
12703_S7,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12703_S7_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12703_S7_R2_001.fastq.gz,auto
12838_S9,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12838_S9_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/12838_S9_R2_001.fastq.gz,auto
13040_S10,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13040_S10_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13040_S10_R2_001.fastq.gz,auto
13121_S12,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13121_S12_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13121_S12_R2_001.fastq.gz,auto
13214_S13,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13214_S13_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13214_S13_R2_001.fastq.gz,auto
13274_S14,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13274_S14_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13274_S14_R2_001.fastq.gz,auto
13385_S57,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13385_S57_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13385_S57_R2_001.fastq.gz,auto
13459_S83,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13459_S83_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13459_S83_R2_001.fastq.gz,auto
13561_S84,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13561_S84_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13561_S84_R2_001.fastq.gz,auto
13609_S58,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13609_S58_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13609_S58_R2_001.fastq.gz,auto
13627_S16,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13627_S16_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13627_S16_R2_001.fastq.gz,auto
13639_S11,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13639_S11_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13639_S11_R2_001.fastq.gz,auto
13752_S17,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13752_S17_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/13752_S17_R2_001.fastq.gz,auto
