File Name,Reads
11-20230206_S10_L001_R1_001,17588931
11-20230206_S10_L001_R2_001,17588931
11-20230206_S10_L002_R1_001,17439426
11-20230206_S10_L002_R2_001,17439426
11-20230206_S10_L003_R1_001,17286071
11-20230206_S10_L003_R2_001,17286071
11-20230206_S10_L004_R1_001,17125525
11-20230206_S10_L004_R2_001,17125525
13-20230213_S2_L001_R1_001,26663459
13-20230213_S2_L001_R2_001,26663459
13-20230213_S2_L002_R1_001,26363308
13-20230213_S2_L002_R2_001,26363308
13-20230213_S2_L003_R1_001,26255282
13-20230213_S2_L003_R2_001,26255282
13-20230213_S2_L004_R1_001,25912854
13-20230213_S2_L004_R2_001,25912854
14-20230213_S3_L001_R1_001,7750165
14-20230213_S3_L001_R2_001,7750165
14-20230213_S3_L002_R1_001,7686836
14-20230213_S3_L002_R2_001,7686836
14-20230213_S3_L003_R1_001,7640990
14-20230213_S3_L003_R2_001,7640990
14-20230213_S3_L004_R1_001,7549262
14-20230213_S3_L004_R2_001,7549262
15-20230213_S3_L001_R1_001,16946381
15-20230213_S3_L001_R2_001,16946381
15-20230213_S3_L002_R1_001,16594575
15-20230213_S3_L002_R2_001,16594575
15-20230213_S3_L003_R1_001,16366527
15-20230213_S3_L003_R2_001,16366527
15-20230213_S3_L004_R1_001,15994376
15-20230213_S3_L004_R2_001,15994376
16-20230213_S5_L001_R1_001,7886211
16-20230213_S5_L001_R2_001,7886211
16-20230213_S5_L002_R1_001,7800881
16-20230213_S5_L002_R2_001,7800881
16-20230213_S5_L003_R1_001,7738108
16-20230213_S5_L003_R2_001,7738108
16-20230213_S5_L004_R1_001,7662426
16-20230213_S5_L004_R2_001,7662426
17-20230213_S4_L001_R1_001,13642431
17-20230213_S4_L001_R2_001,13642431
17-20230213_S4_L002_R1_001,13412518
17-20230213_S4_L002_R2_001,13412518
17-20230213_S4_L003_R1_001,13184913
17-20230213_S4_L003_R2_001,13184913
17-20230213_S4_L004_R1_001,12904430
17-20230213_S4_L004_R2_001,12904430
18-20230213_S5_L001_R1_001,12124769
18-20230213_S5_L001_R2_001,12124769
18-20230213_S5_L002_R1_001,11867077
18-20230213_S5_L002_R2_001,11867077
18-20230213_S5_L003_R1_001,11708962
18-20230213_S5_L003_R2_001,11708962
18-20230213_S5_L004_R1_001,11451553
18-20230213_S5_L004_R2_001,11451553
19-20230206_S11_L001_R1_001,10455895
19-20230206_S11_L001_R2_001,10455895
19-20230206_S11_L002_R1_001,10341321
19-20230206_S11_L002_R2_001,10341321
19-20230206_S11_L003_R1_001,10288701
19-20230206_S11_L003_R2_001,10288701
19-20230206_S11_L004_R1_001,10148170
19-20230206_S11_L004_R2_001,10148170
20-20230206_S1_L001_R1_001,13977962
20-20230206_S1_L001_R2_001,13977962
20-20230206_S1_L002_R1_001,13676212
20-20230206_S1_L002_R2_001,13676212
20-20230206_S1_L003_R1_001,13552436
20-20230206_S1_L003_R2_001,13552436
20-20230206_S1_L004_R1_001,13254786
20-20230206_S1_L004_R2_001,13254786
21-20230213_S6_L001_R1_001,18695295
21-20230213_S6_L001_R2_001,18695295
21-20230213_S6_L002_R1_001,18387577
21-20230213_S6_L002_R2_001,18387577
21-20230213_S6_L003_R1_001,18145560
21-20230213_S6_L003_R2_001,18145560
21-20230213_S6_L004_R1_001,17766955
21-20230213_S6_L004_R2_001,17766955
22-20230213_S9_L001_R1_001,15692720
22-20230213_S9_L001_R2_001,15692720
22-20230213_S9_L002_R1_001,15555520
22-20230213_S9_L002_R2_001,15555520
22-20230213_S9_L003_R1_001,15473392
22-20230213_S9_L003_R2_001,15473392
22-20230213_S9_L004_R1_001,15314534
22-20230213_S9_L004_R2_001,15314534
23-20230206_S2_L001_R1_001,15296024
23-20230206_S2_L001_R2_001,15296024
23-20230206_S2_L002_R1_001,15009659
23-20230206_S2_L002_R2_001,15009659
23-20230206_S2_L003_R1_001,14818092
23-20230206_S2_L003_R2_001,14818092
23-20230206_S2_L004_R1_001,14478679
23-20230206_S2_L004_R2_001,14478679
24-20230206_S14_L001_R1_001,7432168
24-20230206_S14_L001_R2_001,7432168
24-20230206_S14_L002_R1_001,7363228
24-20230206_S14_L002_R2_001,7363228
24-20230206_S14_L003_R1_001,7320571
24-20230206_S14_L003_R2_001,7320571
24-20230206_S14_L004_R1_001,7227824
24-20230206_S14_L004_R2_001,7227824
8-20230213_S1_L001_R1_001,7055656
8-20230213_S1_L001_R2_001,7055656
8-20230213_S1_L002_R1_001,6972665
8-20230213_S1_L002_R2_001,6972665
8-20230213_S1_L003_R1_001,6938104
8-20230213_S1_L003_R2_001,6938104
8-20230213_S1_L004_R1_001,6859051
8-20230213_S1_L004_R2_001,6859051
