FileName,Reads,MergeFrom 
11-20230206_S10_R1_001,34411596,L003/L004
11-20230206_S10_R2_001,34411596,L003/L004
13-20230213_S2_R1_001,26663459,L001
13-20230213_S2_R2_001,26663459,L001
14-20230213_S3_R1_001,30627253,L001/L002/L003/L004
14-20230213_S3_R2_001,30627253,L001/L002/L003/L004
15-20230213_S3_R1_001,32360903,L003/L004
15-20230213_S3_R2_001,32360903,L003/L004
16-20230213_S5_R1_001,31087626,L001/L002/L003/L004
16-20230213_S5_R2_001,31087626,L001/L002/L003/L004
17-20230213_S4_R1_001,27054949,L001/L002
17-20230213_S4_R2_001,27054949,L001/L002
18-20230213_S5_R1_001,35027592,L002/L003/L004
18-20230213_S5_R2_001,35027592,L002/L003/L004
19-20230206_S11_R1_001,30778192,L002/L003/L004
19-20230206_S11_R2_001,30778192,L002/L003/L004
20-20230206_S1_R1_001,27654174,L001/L002
20-20230206_S1_R2_001,27654174,L001/L002
21-20230213_S6_R1_001,35912515,L003/L004
21-20230213_S6_R2_001,35912515,L003/L004
22-20230213_S9_R1_001,30787926,L003/L004
22-20230213_S9_R2_001,30787926,L003/L004
23-20230206_S2_R1_001,29296771,L003/L004
23-20230206_S2_R2_001,29296771,L003/L004
24-20230206_S14_R1_001,29343791,L001/L002/L003/L004
24-20230206_S14_R2_001,29343791,L001/L002/L003/L004
8-20230213_S1_R1_001,27825476,L001/L002/L003/L004
8-20230213_S1_R2_001,27825476,L001/L002/L003/L004
